Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/20,AQS,60730001,7,0.0309,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/16/20,AQS,60730001,7,0.045,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/28/20,AQS,60730001,7,0.00532,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
2/9/20,AQS,60730001,7,0.00353,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
2/21/20,AQS,60730001,7,0.0251,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
3/4/20,AQS,60730001,7,0.0227,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
3/16/20,AQS,60730001,7,0.122,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
3/28/20,AQS,60730001,7,0.0113,ug/m3 SC,.,Chula Vista,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/4/20,AQS,60731022,7,0.00517,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/16/20,AQS,60731022,7,0.00598,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/31/20,AQS,60731022,7,0.00685,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
2/9/20,AQS,60731022,7,0.00269,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
2/21/20,AQS,60731022,7,0.00821,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/4/20,AQS,60731022,7,0.00142,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/16/20,AQS,60731022,7,0.00481,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/28/20,AQS,60731022,7,0.00251,ug/m3 SC,.,El Cajon - Lexington Elementary School,1,100,12128,Lead (TSP) STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/4/20,AQS,60731023,1,0.006,ug/m3 LC,.,Palomar Airport,1,100,14129,Lead (TSP) LC,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.130897,-117.272389
1/9/20,AQS,60731023,1,0.013,ug/m3 LC,.,Palomar Airport,1,100,14129,Lead (TSP) LC,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.130897,-117.272389
1/16/20,AQS,60731023,1,0.035,ug/m3 LC,.,Palomar Airport,1,100,14129,Lead (TSP) LC,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.130897,-117.272389
1/22/20,AQS,60731023,1,0.011,ug/m3 LC,.,Palomar Airport,1,100,14129,Lead (TSP) LC,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.130897,-117.272389
