Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/20,AQS,60730001,1,18,ppb,17,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/2/20,AQS,60730001,1,35,ppb,33,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/3/20,AQS,60730001,1,36,ppb,34,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/4/20,AQS,60730001,1,31,ppb,29,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/5/20,AQS,60730001,1,36,ppb,34,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/6/20,AQS,60730001,1,40,ppb,38,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/7/20,AQS,60730001,1,37,ppb,35,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/8/20,AQS,60730001,1,30,ppb,28,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/9/20,AQS,60730001,1,25,ppb,24,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/10/20,AQS,60730001,1,32,ppb,30,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/11/20,AQS,60730001,1,28,ppb,26,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/12/20,AQS,60730001,1,22,ppb,21,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/13/20,AQS,60730001,1,29,ppb,27,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/14/20,AQS,60730001,1,35,ppb,33,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/15/20,AQS,60730001,1,37,ppb,35,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/16/20,AQS,60730001,1,38,ppb,36,Chula Vista,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
