State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/1/20,Parts per billion,None,22,92,0.590909,3,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/2/20,Parts per billion,None,22,92,4.5,32,21,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/3/20,Parts per billion,None,22,92,6.136364,22,21,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/4/20,Parts per billion,None,22,92,4.863636,18,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/5/20,Parts per billion,None,22,92,3.636364,14,21,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/6/20,Parts per billion,None,22,92,4.863636,26,18,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/7/20,Parts per billion,None,22,92,7.090909,23,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/8/20,Parts per billion,None,22,92,3.5,24,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/9/20,Parts per billion,None,22,92,1.045455,9,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/10/20,Parts per billion,None,22,92,8.181818,22,19,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/11/20,Parts per billion,None,22,92,4.318182,27,0,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/12/20,Parts per billion,None,22,92,0.954545,4,11,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/13/20,Parts per billion,None,22,92,4.454545,21,21,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
