"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/02/2020","AQS","060730001","1","0.032","ppm","30","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/03/2020","AQS","060730001","1","0.036","ppm","33","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/04/2020","AQS","060730001","1","0.033","ppm","31","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/05/2020","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/06/2020","AQS","060730001","1","0.034","ppm","31","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/07/2020","AQS","060730001","1","0.039","ppm","36","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/08/2020","AQS","060730001","1","0.039","ppm","36","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/09/2020","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/10/2020","AQS","060730001","1","0.025","ppm","23","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/11/2020","AQS","060730001","1","0.039","ppm","36","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/12/2020","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/13/2020","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/14/2020","AQS","060730001","1","0.044","ppm","41","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/15/2020","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/16/2020","AQS","060730001","1","0.043","ppm","40","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/17/2020","AQS","060730001","1","0.036","ppm","33","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/18/2020","AQS","060730001","1","0.03","ppm","28","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"01/19/2020","AQS","060730001","1","0.039","ppm","36","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
