Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/20,AQS,60730001,1,10.9,ug/m3 LC,45,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/4/20,AQS,60730001,1,14,ug/m3 LC,55,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/7/20,AQS,60730001,1,6.1,ug/m3 LC,25,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/10/20,AQS,60730001,1,8.4,ug/m3 LC,35,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/13/20,AQS,60730001,1,11.1,ug/m3 LC,46,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/16/20,AQS,60730001,1,21.4,ug/m3 LC,71,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/19/20,AQS,60730001,1,8.3,ug/m3 LC,35,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/22/20,AQS,60730001,1,5.9,ug/m3 LC,25,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/25/20,AQS,60730001,1,21.3,ug/m3 LC,70,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/28/20,AQS,60730001,1,7.9,ug/m3 LC,33,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
