State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/1/20,Millibars,None,24,100,1000.070833,1002.6,0,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/2/20,Millibars,None,24,100,998.954167,1002.6,21,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/3/20,Millibars,None,24,100,1007.125,1010.6,21,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/4/20,Millibars,None,24,100,1009.891667,1011.9,8,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/5/20,Millibars,None,24,100,1008.2375,1010.6,7,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/6/20,Millibars,None,24,100,1007.195833,1009.2,8,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/7/20,Millibars,None,24,100,1003.004167,1005.2,0,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/8/20,Millibars,None,24,100,1000.283333,1002.6,10,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/9/20,Millibars,None,24,100,999.629167,1001.2,8,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
6,73,1016,64101,1,32.845709,-117.123964,NAD83,Barometric pressure,1 HOUR,,1/10/20,Millibars,None,24,100,1006.3,1007.9,9,,14,INSTRUMENTAL - BAROMETRIC SENSOR,Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,"San Diego-Carlsbad, CA",4/18/21
