State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/1/20,Percent relative humidity,None,24,100,52.416667,90,21,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/2/20,Percent relative humidity,None,24,100,52.166667,77,0,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/3/20,Percent relative humidity,None,24,100,34.583333,47,21,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/4/20,Percent relative humidity,None,24,100,43.791667,62,18,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/5/20,Percent relative humidity,None,24,100,43.333333,60,18,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/6/20,Percent relative humidity,None,24,100,14.5,38,1,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/7/20,Percent relative humidity,None,24,100,22.125,51,17,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/8/20,Percent relative humidity,None,24,100,53.125,89,19,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/9/20,Percent relative humidity,None,24,100,84.833333,95,18,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/10/20,Percent relative humidity,None,24,100,62.666667,94,0,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/11/20,Percent relative humidity,None,24,100,61.208333,93,19,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/12/20,Percent relative humidity,None,24,100,68.333333,95,22,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/13/20,Percent relative humidity,None,24,100,80.166667,96,1,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/14/20,Percent relative humidity,None,24,100,69.625,92,20,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/15/20,Percent relative humidity,None,24,100,44.083333,77,18,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/16/20,Percent relative humidity,None,24,100,61.125,90,23,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/17/20,Percent relative humidity,None,24,100,89.125,99,8,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/18/20,Percent relative humidity,None,24,100,41.208333,84,0,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/19/20,Percent relative humidity,None,24,100,29.625,52,17,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/20/20,Percent relative humidity,None,24,100,50.208333,89,17,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/21/20,Percent relative humidity,None,24,100,93.75,99,21,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/22/20,Percent relative humidity,None,24,100,83.416667,99,4,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/23/20,Percent relative humidity,None,24,100,43.458333,73,0,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/24/20,Percent relative humidity,None,24,100,47.083333,79,19,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/25/20,Percent relative humidity,None,24,100,49,71,17,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/26/20,Percent relative humidity,None,24,100,70.625,98,22,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/27/20,Percent relative humidity,None,24,100,60.75,98,0,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/28/20,Percent relative humidity,None,24,100,37.625,61,20,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/29/20,Percent relative humidity,None,24,100,36.541667,63,4,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/30/20,Percent relative humidity,None,24,100,22.791667,33,19,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,1/31/20,Percent relative humidity,None,24,100,20.666667,30,17,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/1/20,Percent relative humidity,None,24,100,15.291667,22,21,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/2/20,Percent relative humidity,None,24,100,44.25,95,20,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/3/20,Percent relative humidity,None,24,100,55.833333,93,5,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/4/20,Percent relative humidity,None,24,100,16.75,26,3,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/5/20,Percent relative humidity,None,24,100,21.458333,43,21,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/6/20,Percent relative humidity,None,24,100,38,77,20,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/7/20,Percent relative humidity,None,24,100,43.375,60,19,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/8/20,Percent relative humidity,None,24,100,52.458333,98,23,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/9/20,Percent relative humidity,None,24,100,91.875,99,1,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/10/20,Percent relative humidity,None,24,100,91.208333,98,5,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
6,73,1006,62201,1,32.842318,-116.768293,NAD83,Relative Humidity ,1 HOUR,,2/11/20,Percent relative humidity,None,24,100,46.958333,76,0,,12,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,"San Diego-Carlsbad, CA",4/18/21
